molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL1086377,CCN1CCN(CC(=O)Nc2ccc(-c3cccc4c(=O)cc(N5CCOCC5)oc34)c3sc4ccccc4c23)CC1,inactive,10000.0
CHEMBL188678,O=c1cc(N2CCOCC2)oc2c(-c3cccc4c3sc3ccccc34)cccc12,inactive,10000.0
CHEMBL3355072,C[C@@H]1Cn2ncc(-c3ccc(S(C)(=O)=O)cc3)c2CN1c1ccnc2[nH]ccc12,active,130.0
CHEMBL3355073,C[C@@H]1Cn2ncc(C3CCN(S(C)(=O)=O)CC3)c2CN1c1ccnc2[nH]ccc12,inactive,14000.0
CHEMBL3355074,C[C@@H]1Cn2ncc(C3CCN(S(C)(=O)=O)CC3)c2CN1c1cc(Cl)nc2[nH]ccc12,intermediate,4300.0
CHEMBL3355480,C[C@@H]1COCCN1c1nc(-c2nncc3[nH]ccc23)cc2c1ncn2C,inactive,15000.0
CHEMBL3334621,CC(C)(C#N)c1ccc(N2C(=O)OCc3cnc4ccc(-c5cnc6ccccc6c5)cc4c32)cc1,active,36.0
CHEMBL2140173,C[C@H]1CN(CC(=O)Nc2ccc3c(c2)Cc2cccc(-c4cc(=O)cc(N5CCOCC5)o4)c2S3)C[C@@H](C)O1,active,6.0
CHEMBL3586573,CCN1C(=O)CNc2ncc(-c3ccc(-c4nc[nH]n4)nc3C)nc21,inactive,30000.0
CHEMBL3763978,Nc1nc(-c2ccc(Cl)cc2)nn1-c1ncnc2ccccc12,inactive,40000.0
CHEMBL3763564,COc1ccc(-c2nc(N)n(-c3ncnc4ccccc34)n2)cc1,inactive,40000.0
CHEMBL3764187,Nc1nc(-c2ccccn2)nn1-c1ncnc2ccccc12,inactive,40000.0
CHEMBL3765365,Nc1nc(-c2ccccc2)nn1-c1ncnc2ccccc12,inactive,40000.0
CHEMBL2143829,COc1cc2ncnc(-n3nc(-c4ccccn4)nc3N)c2cc1OC,active,400.0
CHEMBL222102,O=c1cc(-c2cccc3c2Sc2ccccc2S3)oc(N2CCOCC2)c1,active,300.0
CHEMBL3764626,COc1cc2ncnc(-n3nc(-c4ccccn4)nc3N)c2cc1OCCCNC(=O)C(F)(F)F,intermediate,2900.0
CHEMBL3765095,COc1cc2ncnc(-n3nc(-c4ccccn4)nc3N)c2cc1OCCCNC(=O)OCC(C)(C)C,intermediate,1900.0
CHEMBL3765248,COc1cc2ncnc(-n3nc(-c4ccccn4)nc3N)c2cc1OCCCNC(=O)Oc1ccccc1,inactive,23500.0
CHEMBL3763843,CCCCCCOC(=O)NCCCOc1cc2c(-n3nc(-c4ccccn4)nc3N)ncnc2cc1OC,inactive,28600.0
CHEMBL3764022,COc1cc2ncnc(-n3nc(-c4ccccn4)nc3N)c2cc1OCCCNC(=O)OCC(F)(F)F,intermediate,1200.0
CHEMBL3764768,COc1cc2ncnc(-n3nc(-c4ccccn4)nc3N)c2cc1OCCCNC(=O)OC(C)C,active,1000.0
CHEMBL3765373,CCOC(=O)NCCCOc1cc2c(-n3nc(-c4ccccn4)nc3N)ncnc2cc1OC,active,800.0
CHEMBL3763939,COc1cc2ncnc(-n3nc(-c4ccccn4)nc3N)c2cc1OCCNC(=O)OC(C)(C)C,active,800.0
CHEMBL3764231,COc1cc2ncnc(-n3nc(-c4ccccn4)nc3N)c2cc1OCCCCNC(=O)OC(C)(C)C,active,800.0
CHEMBL3763565,COc1cc2ncnc(-n3nc(-c4ccccn4)nc3N)c2cc1OCCCNC(=O)OC(C)(C)C,active,900.0
CHEMBL3764983,COc1cc2ncnc(-n3nc(-c4ccccn4)nc3N)c2cc1OCCCNC(=O)CN1C[C@H](C)O[C@H](C)C1,intermediate,1700.0
CHEMBL3763327,CCN(CC)C(=O)COc1cc2c(-n3nc(-c4ccccn4)nc3N)ncnc2cc1OC,intermediate,5300.0
CHEMBL3763358,COCCOc1cc2c(-n3nc(-c4ccccn4)nc3N)ncnc2cc1OC,intermediate,1200.0
CHEMBL3763863,COc1cc2ncnc(-n3nc(-c4ccccn4)nc3N)c2cc1OCCCN1CC(C)OC(C)C1,intermediate,1600.0
CHEMBL3763259,COc1cc2ncnc(-n3nc(-c4ccccn4)nc3N)c2cc1OCCN1CCC(C)CC1,intermediate,1700.0
CHEMBL3764577,COc1cc2ncnc(-n3nc(-c4ccccn4)nc3N)c2cc1OCCN1CCCCC1,intermediate,5600.0
CHEMBL3763333,COc1cc2ncnc(-n3nc(-c4ccccn4)nc3N)c2cc1OCCN1CCCC1,intermediate,2700.0
CHEMBL3765728,COc1cc2ncnc(-n3nc(-c4ccccn4)nc3N)c2cc1OCCN(C(C)C)C(C)C,intermediate,6100.0
CHEMBL3765428,COc1cc2ncnc(-n3nc(-c4ccccn4)nc3N)c2cc1OCCCN(C)C,intermediate,6600.0
CHEMBL3765543,COc1cc2c(-n3nc(-c4ccccn4)nc3N)ncnc2cc1OCCCN1CCOCC1,inactive,40000.0
CHEMBL3764051,COc1cc2ncnc(-n3nc(-c4ccccn4)nc3N)c2cc1OCCCN1CCOCC1,intermediate,2200.0
CHEMBL3764505,COc1cc2c(-n3nc(-c4ccccn4)nc3N)ncnc2cc1O,inactive,40000.0
CHEMBL3764560,COc1cc2c(-n3nc(-c4ccccn4)nc3N)ncnc2cc1OCc1ccccc1,inactive,40000.0
CHEMBL3764148,COc1cc2ncnc(-n3nc(-c4ccccn4)nc3N)c2cc1O,inactive,12600.0
CHEMBL3763312,COc1cc2ncnc(-n3nc(-c4ccccn4)nc3N)c2cc1OCc1ccccc1,intermediate,8600.0
CHEMBL3763908,COc1cc2ncnc(-n3nc(N)nc3N)c2cc1OC,inactive,40000.0
CHEMBL3764371,COc1cc2ncnc(-n3ncc(-c4ccccn4)c3N)c2cc1OC,intermediate,2400.0
CHEMBL3763771,COc1cc2ncnc(-n3nc(-c4ccc(Cl)cc4)cc3N)c2cc1OC,inactive,40000.0
CHEMBL3763450,COc1cc2ncnc(-n3nc(-c4ccc(C)cc4)cc3N)c2cc1OC,inactive,40000.0
CHEMBL3765799,COc1cc2ncnc(-n3nc(-c4ccccc4)cc3N)c2cc1OC,inactive,20600.0
CHEMBL3764372,COc1cc2ncnc(-n3nc(-c4ccccn4)cc3N)c2cc1OC,intermediate,1600.0
CHEMBL3763556,COc1cc2ncnc(-n3ncc(-c4ccccn4)n3)c2cc1OC,inactive,13300.0
CHEMBL3763767,COc1cc2ncnc(-n3cnc(-c4ccccn4)n3)c2cc1OC,intermediate,5300.0
CHEMBL3764259,COc1cc2ncnc(Nc3ccc(-c4ccccn4)cc3)c2cc1OC,inactive,12500.0
CHEMBL3765767,COc1cc2ncnc(Nc3ccccn3)c2cc1OC,inactive,40000.0
CHEMBL1739206,COc1cc2ncnc(NCc3ccccn3)c2cc1OC,inactive,40000.0
CHEMBL3764633,COc1cc2nc(N)nc(-n3nc(-c4ccccn4)nc3N)c2cc1OC,intermediate,2100.0
CHEMBL3765535,COc1cc2nc(-c3ccccc3)nc(-n3nc(-c4ccccn4)nc3N)c2cc1OC,inactive,40000.0
CHEMBL3765484,COc1cc2nc(C)nc(-n3nc(-c4ccccn4)nc3N)c2cc1OC,inactive,10100.0
CHEMBL3764969,CCN(CC)c1nc(-n2nc(-c3ccccn3)nc2N)c2cc(OC)c(OC)cc2n1,inactive,40000.0
CHEMBL3764110,COc1cc2nc(NCC(=O)O)nc(-n3nc(-c4ccccn4)nc3N)c2cc1OC,inactive,40000.0
CHEMBL3765378,CCOC(=O)CNc1nc(-n2nc(-c3ccccn3)nc2N)c2cc(OC)c(OC)cc2n1,inactive,40000.0
CHEMBL3765032,COc1cc2nc(N3CCN(CCO)CC3)nc(-n3nc(-c4ccccn4)nc3N)c2cc1OC,inactive,40000.0
CHEMBL3763930,COc1cc2nc(N3CCN(C)CC3)nc(-n3nc(-c4ccccn4)nc3N)c2cc1OC,inactive,40000.0
CHEMBL3765727,COc1cc2nc(N3CCOCC3)nc(-n3nc(-c4ccccn4)nc3N)c2cc1OC,inactive,40000.0
CHEMBL3763896,COc1cc2nc(Cl)nc(-n3nc(-c4ccccn4)nc3N)c2cc1OC,inactive,40000.0
CHEMBL3764300,COCCOc1cc2ncnc(-n3nc(-c4ccccn4)nc3N)c2cc1OCCOC,intermediate,2300.0
CHEMBL3763268,Nc1nc(-c2ccccn2)nn1-c1ncnc2cc(OCC3CC3)c(OCC3CC3)cc12,inactive,40000.0
CHEMBL3763872,COc1cc2ncnc(-n3nc(C4CCCCC4)nc3N)c2cc1OC,inactive,40000.0
CHEMBL3763904,COc1cc2ncnc(-n3nc(-c4ccc(Cl)cc4)nc3N)c2cc1OC,inactive,40000.0
CHEMBL3763579,COc1ccc(-c2nc(N)n(-c3ncnc4cc(OC)c(OC)cc34)n2)cc1,inactive,40000.0
CHEMBL3763603,COc1cc2ncnc(-n3nc(-c4ccccc4)nc3N)c2cc1OC,intermediate,2000.0
CHEMBL3765732,COc1cc2ncnc(-n3nc(-c4ccncc4)nc3N)c2cc1OC,intermediate,5000.0
CHEMBL3763903,COc1cc2ncnc(-n3nc(-c4cccnc4)nc3N)c2cc1OC,inactive,15000.0
CHEMBL3765342,Nc1nc(-c2ccccn2)nn1-c1ncnc2cc3c(cc12)OCCO3,inactive,40000.0
CHEMBL3765296,Nc1nc(-c2ccccn2)nn1-c1ncnc2cc(F)c(F)cc12,inactive,40000.0
CHEMBL3764689,Nc1nc(-c2ccccn2)nn1-c1ncnc2cc(OC(F)(F)F)ccc12,inactive,40000.0
CHEMBL3763403,COc1ccc2ncnc(-n3nc(-c4ccccn4)nc3N)c2c1,inactive,16900.0
CHEMBL3763586,Nc1nc(-c2ccccn2)nn1-c1ncnc2cc(N3CCNCC3)c([N+](=O)[O-])cc12,inactive,40000.0
CHEMBL3764232,COc1cc2ncnc(-n3nc(-c4ccccn4)nc3N)c2cc1N,inactive,40000.0
CHEMBL3764171,COc1cc2ncnc(-n3nc(-c4ccccn4)nc3N)c2cc1[N+](=O)[O-],inactive,31100.0
CHEMBL3765418,Nc1cc2c(-n3nc(-c4ccccn4)nc3N)ncnc2cc1Cl,inactive,40000.0
CHEMBL3764897,Nc1nc(-c2ccccn2)nn1-c1ncnc2cc(Cl)c([N+](=O)[O-])cc12,inactive,40000.0
CHEMBL3764741,Nc1nc(-c2ccc(Cl)cc2)nn1-c1ncnc2cc(Cl)ccc12,inactive,40000.0
CHEMBL3764242,COc1ccc(-c2nc(N)n(-c3ncnc4cc(Cl)ccc34)n2)cc1,inactive,40000.0
CHEMBL3763710,Nc1nc(-c2ccccn2)nn1-c1ncnc2cc(Cl)ccc12,inactive,40000.0
CHEMBL3763436,Nc1nc(-c2ccccc2)nn1-c1ncnc2cc(Cl)ccc12,inactive,40000.0
CHEMBL222102,O=c1cc(-c2cccc3c2Sc2ccccc2S3)oc(N2CCOCC2)c1,active,250.0
CHEMBL3765783,C[C@H]1CN(CC(=O)Nc2ccc3c(c2)Sc2cccc(-c4cc(=O)cc(N5CCOCC5)o4)c2S3)C[C@@H](C)O1,active,6.3
CHEMBL1879463,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,active,7.0
CHEMBL2143829,COc1cc2ncnc(-n3nc(-c4ccccn4)nc3N)c2cc1OC,active,20.0
CHEMBL222102,O=c1cc(-c2cccc3c2Sc2ccccc2S3)oc(N2CCOCC2)c1,active,13.0
CHEMBL3960662,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n(C2CCOCC2)c(=O)n4C)cn1,active,0.575
CHEMBL3936734,CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1,active,0.249
CHEMBL3951966,CN(C)CCCOc1ccc(-c2cc3c(cc2F)ncc2c3n(C3(C)CCOCC3)c(=O)n2C)cn1,active,2.03
CHEMBL3924247,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n(C2COC2)c(=O)n4C)cn1,active,1.46
CHEMBL3889770,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@H]2C[C@@H](O)C2)c(=O)n4C)cn1,active,0.24
CHEMBL3950905,CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4cc(F)c(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1,active,1.05
CHEMBL3961688,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n(C2(C)CCOCC2)c(=O)n4C)cn1,active,0.96
CHEMBL3986918,CN(C)CCCOc1ccc(-c2cc3c(cc2F)ncc2c3n(C3CCOCC3)c(=O)n2C)cn1,active,0.782
CHEMBL3957991,CN(C)CCCOc1ccc(-c2cc3c(cc2F)ncc2c3n(C3COC3)c(=O)n2C)cn1,active,3.8
CHEMBL4110596,CN(C)CCCOc1ccc(-c2cc3c(cc2F)ncc2c3n([C@@H]3CCCOC3)c(=O)n2C)cn1,active,1.0
CHEMBL3912673,CN(C)CCCOc1ccc(-c2cc3c(cc2F)ncc2c3n([C@H]3CCCOC3)c(=O)n2C)cn1,active,1.14
CHEMBL3898563,CO[C@H]1C[C@@H](n2c(=O)[nH]c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1,active,1.03
CHEMBL3907190,CN(C)CCCOc1ccc(-c2ccc3ncc4[nH]c(=O)n(C5CCOCC5)c4c3c2)cn1,active,3.22
CHEMBL3984179,Cn1c(=O)n([C@H]2C[C@@H](O)C2)c2c3cc(-c4ccc(OCCCN5CCC5)nc4)ccc3ncc21,active,1.05
